LEVEL,PM2.5,PM10,SO2,CO,NO2,O3_8h
1,103,124,6,0.9,45,27
1,103,132,10,1,57,22
1,79,102,6,1,57,56
1,89,119,8,1.1,67,16
1,98,124,6,0.9,52,18
1,91,116,8,1.2,61,17
2,57,85,7,1,53,71
1,76,117,8,1.2,85,30
2,67,91,7,1,48,26
2,35,55,7,1.1,39,37
2,48,70,6,1.2,54,69
2,72,97,9,1.4,58,82
1,76,97,13,1.2,54,24
1,98,131,7,1.3,56,14
2,49,60,5,0.9,29,16
2,41,50,5,0.9,33,49
2,64,85,6,1,48,16
2,75,97,6,1.1,45,33
2,54,68,5,0.9,39,82
1,78,100,7,1,48,70
1,91,111,7,0.9,37,68
1,107,124,7,1,42,63
0,119,134,6,1.1,41,33
2,57,65,6,0.8,17,75
2,49,53,7,0.8,14,92
2,40,45,6,0.8,15,58
2,38,43,7,0.8,14,49
2,49,54,6,0.9,22,43
2,44,49,5,0.9,22,75
2,47,54,6,0.8,21,65
2,43,48,5,0.7,16,56
2,41,46,5,0.7,14,38
2,38,42,5,0.6,20,63
3,32,38,5,0.5,17,78
3,35,40,5,0.6,16,76
2,58,66,6,0.7,17,56
3,30,34,5,0.6,13,80
2,44,49,5,0.7,13,47
2,51,59,7,0.9,21,50
2,39,47,6,0.8,13,82
3,34,41,6,0.7,15,82
2,53,60,6,0.8,15,90
1,85,99,7,1,24,86
1,87,96,7,0.9,21,96
2,56,76,6,0.7,16,76
2,24,101,5,0.4,8,71
2,25,69,5,0.5,13,89
2,39,72,8,0.5,20,75
2,49,79,9,0.6,21,83
2,44,61,6,0.6,15,92
2,49,61,6,0.6,16,74
2,36,65,5,0.5,22,88
2,61,88,6,0.7,31,50
1,81,107,7,0.8,36,55
1,83,108,7,0.8,38,95
1,82,105,7,0.8,39,109
1,86,110,7,0.9,44,103
1,105,125,6,1,34,54
3,17,22,6,0.8,29,76
2,31,45,7,0.8,39,122
2,41,70,8,0.7,35,63
3,17,34,5,0.6,18,67
3,22,38,6,0.5,29,69
3,24,41,6,0.5,30,83
2,43,64,7,0.6,29,62
2,52,68,7,0.6,30,65
2,56,78,8,0.6,34,100
2,62,89,11,0.7,38,72
2,28,77,7,0.5,31,60
2,22,60,6,0.4,27,75
2,35,75,7,0.5,29,92
2,59,105,8,0.6,42,76
2,63,125,8,0.7,50,71
2,45,128,9,0.7,62,49
2,55,123,10,0.8,56,50
2,28,52,6,0.6,29,58
2,23,46,6,0.6,43,98
2,46,88,9,0.7,70,89
2,28,58,9,0.5,44,119
2,48,93,11,0.7,65,140
2,52,98,12,0.7,53,157
2,38,64,6,0.7,42,106
2,51,104,10,0.8,59,150
1,76,132,10,0.8,61,141
2,75,110,8,0.9,44,155
2,71,132,9,0.8,41,86
3,16,38,5,0.5,18,86
3,10,19,5,0.6,20,57
3,12,21,5,0.6,23,67
3,21,38,5,0.6,35,44
3,24,36,5,0.6,31,96
3,31,48,6,0.6,33,81
3,30,48,6,0.6,28,52
3,8,13,4,0.6,20,47
3,20,28,5,0.6,26,83
2,35,53,5,0.6,36,83
2,52,78,5,0.8,47,41
2,75,105,6,0.9,46,84
2,43,62,7,0.7,41,126
2,40,68,7,0.8,49,134
2,33,54,6,0.6,25,132
2,32,76,5,0.6,35,108
2,44,119,7,0.7,55,109
2,41,69,4,0.6,33,79
2,48,71,4,0.7,44,127
1,78,119,7,1.1,73,129
1,94,136,9,0.9,66,159
2,43,84,6,0.6,51,104
2,19,45,5,0.5,22,127
3,28,50,5,0.6,36,56
2,33,57,6,0.7,40,87
3,18,33,4,0.4,26,82
3,15,31,5,0.4,25,81
2,22,39,8,0.4,27,101
2,31,51,5,0.4,36,123
2,35,63,6,0.6,54,147
2,42,70,9,0.6,57,159
2,39,76,6,0.7,68,160
1,44,86,7,0.8,76,185
1,59,115,9,0.9,93,103
1,42,67,6,0.6,36,177
1,62,87,7,0.7,45,207
0,55,91,8,0.8,67,216
0,57,98,8,0.9,70,221
1,56,96,11,0.8,46,201
1,56,91,7,0.7,44,164
0,54,86,6,0.7,39,218
3,21,32,5,0.6,21,71
2,14,32,6,0.5,27,130
2,19,51,4,0.4,23,85
2,17,40,6,0.4,29,152
2,42,113,5,0.5,35,88
2,56,123,6,0.6,67,43
1,65,136,8,0.6,55,178
1,72,109,4,0.6,35,178
1,69,108,5,0.6,36,210
1,64,100,6,0.6,39,185
2,13,37,4,0.4,33,156
1,33,75,8,0.5,51,180
1,42,86,8,0.5,42,199
2,43,72,5,0.6,22,118
2,33,52,4,0.6,36,68
2,24,55,6,0.6,48,127
0,52,93,7,0.7,56,246
3,15,31,4,0.4,19,78
3,20,33,5,0.5,33,81
2,43,71,7,0.8,52,69
2,17,33,5,0.5,32,115
2,21,41,8,0.5,32,132
1,31,55,7,0.5,41,169
